YEAR,HHWT,MET2013,PUMA,OWNERSHPD,MORTAMT1,RENT,PERNUM,PERWT,SEX,AGE,MARST,RACE,HISPAN,EDUC,EMPSTAT,OCC2010,IND,INCTOT,FTOTINC,POVERTY,MIGMET1,MIGPLAC1,MIGPUMA1
2006,58,38060,103,22,0,700,3,84,2,62,5,2,0,6,3,9920,0,10700,34300,216,4480.0,,
2006,90,38060,104,22,0,820,1,93,1,26,1,1,1,6,1,5620,5580,16000,36000,224,4480.0,,
2006,90,38060,104,22,0,820,3,109,1,2,6,1,1,0,0,9920,0,9999999,36000,224,4480.0,,
2006,203,38060,103,13,1700,0,6,299,2,54,1,1,4,2,3,9920,0,0,50600,160,4480.0,,
2006,203,38060,103,13,1700,0,7,368,1,53,1,1,4,6,1,9100,7860,2600,50600,160,4480.0,,
2006,135,38060,109,22,0,530,1,134,1,22,6,1,1,8,1,4010,8680,17300,17300,165,4480.0,,
2006,135,38060,109,22,0,530,3,210,2,17,6,1,1,5,1,4720,8680,9000,17300,165,4480.0,,
2006,135,38060,109,22,0,530,4,156,2,21,6,1,1,3,3,4720,8680,800,17300,7,4480.0,,
2006,78,38060,121,13,1900,0,1,76,1,56,1,1,0,6,1,4700,4170,30000,55800,417,4482.0,,
2006,78,38060,121,13,1900,0,2,81,2,55,1,1,0,11,3,9920,0,25800,55800,417,4482.0,,
2006,247,46060,202,22,0,770,3,242,1,10,6,7,1,1,0,9920,0,9999999,54800,273,4480.0,,
2006,184,46060,203,22,0,500,1,179,1,29,6,7,1,7,1,430,6170,40000,40000,384,4480.0,,
2006,74,39140,500,13,1200,0,2,124,2,92,4,7,1,5,3,9920,0,8300,45600,386,4482.0,,
2006,65,38060,122,22,0,1100,5,111,1,48,4,1,0,6,1,4240,7690,3100,43700,180,4480.0,,
2006,88,29420,600,22,0,550,4,71,2,15,6,1,4,2,0,9920,0,0,14450,54,4480.0,,
2006,72,38060,800,0,0,0,1,72,1,20,6,8,4,4,3,6230,770,0,9999999,0,4480.0,,
2006,118,46060,205,12,0,0,1,120,2,43,5,4,0,11,3,3060,7970,105800,105800,501,4482.0,,
2006,118,46060,205,12,0,0,2,171,2,7,6,8,0,0,0,9920,0,9999999,105800,501,4482.0,,
2006,118,46060,205,12,0,0,3,143,1,4,6,8,0,1,0,9920,0,9999999,105800,501,4482.0,,
2006,147,38060,121,22,0,620,1,144,1,50,4,1,0,10,1,1360,7290,120000,120000,501,4480.0,,
2006,87,29420,600,13,1400,0,1,87,2,44,1,1,0,10,3,5120,6890,30300,50600,215,4480.0,,
2006,87,29420,600,13,1400,0,2,99,1,49,1,1,0,6,1,4760,4670,20300,50600,215,4480.0,,
2006,87,29420,600,13,1400,0,3,94,1,10,6,1,0,1,0,9920,0,9999999,50600,215,4480.0,,
2006,87,29420,600,13,1400,0,4,83,2,8,6,1,0,1,0,9920,0,9999999,50600,215,4480.0,,
2006,87,29420,600,13,1400,0,5,92,1,7,6,1,0,0,0,9920,0,9999999,50600,215,4480.0,,
2006,81,38060,101,22,0,650,1,82,1,70,1,1,0,7,3,420,3590,44600,50200,422,4480.0,,
2006,81,38060,101,22,0,650,2,79,2,65,1,1,0,7,3,4760,5170,5600,50200,422,4480.0,,
2006,54,49740,700,13,580,0,2,32,2,80,5,1,0,6,3,9920,0,14100,24000,285,4480.0,,
2006,127,38060,117,22,0,750,1,127,2,26,1,1,1,3,3,9920,0,0,19600,65,4482.0,,
2006,127,38060,117,22,0,750,2,151,1,34,1,1,1,5,1,6440,770,19600,19600,65,4482.0,,
